store_id,region,city,category,subcategory,unit_price,quantity,discount,total_sales,profit,customer_type,payment_method,online_order,stockout_flag,weekday,month,year,hour,price_qty,discount_value,profit_margin
67,2,4,0,5,34.93,1,0.0,34.93,6.89,1,0,0,0,6,10,2024,3,34.93,0.0,0.19176175897578623
67,2,0,2,7,22.23,1,0.2,17.78,3.2,1,2,0,0,2,8,2023,7,22.23,4.446000000000001,0.1703940362087327
43,0,1,1,6,72.95,4,0.05,277.21,19.53,1,2,0,0,3,12,2024,13,291.8,14.590000000000002,0.07019877071277093
41,2,6,2,7,55.46,1,0.2,44.37,7.71,0,1,1,0,6,7,2024,3,55.46,11.092,0.16993608111086622
28,0,1,3,2,20.32,1,0.05,19.3,2.34,0,1,0,0,3,8,2023,3,20.32,1.016,0.11527093596059113
44,2,4,1,3,55.32,1,0.0,55.32,5.3,1,0,0,1,6,1,2024,8,55.32,0.0,0.09410511363636363
69,2,6,3,2,56.58,1,0.05,53.75,4.19,1,3,1,0,3,11,2023,6,56.58,2.829,0.07652968036529681
50,2,3,2,1,40.35,1,0.2,32.28,2.65,1,3,1,1,1,5,2023,16,40.35,8.07,0.07962740384615384
54,2,3,0,9,15.61,1,0.05,14.83,2.03,0,0,1,1,4,1,2023,21,15.61,0.7805,0.12823752368919772
74,0,1,1,3,70.85,4,0.15,240.89,56.3,0,0,1,0,3,9,2024,6,283.4,42.51,0.23275042374633098
65,2,0,2,1,15.73,3,0.1,42.47,9.05,1,1,1,1,3,9,2023,1,47.19,4.719,0.20818955601564298
42,2,0,1,3,50.69,1,0.1,45.62,11.36,1,0,0,0,0,9,2024,13,50.69,5.069,0.24367224367224366
77,2,0,1,3,64.84,1,0.0,64.84,4.16,0,2,0,1,5,3,2023,10,64.84,0.0,0.06318347509113001
71,2,6,1,3,21.73,1,0.2,17.38,4.12,1,3,0,0,0,9,2023,8,21.73,4.346,0.22415669205658326
4,0,1,3,2,9.5,2,0.2,15.2,0.92,1,0,0,0,1,4,2023,21,19.0,3.8000000000000003,0.05679012345679013
1,3,2,3,4,13.75,1,0.1,12.38,1.24,0,0,0,0,0,7,2023,17,13.75,1.375,0.09267563527653214
14,2,6,3,4,4.74,4,0.1,17.06,3.93,1,2,1,0,4,8,2023,5,18.96,1.8960000000000001,0.21760797342192695
77,1,5,3,4,31.28,1,0.05,29.72,2.78,1,0,0,1,2,3,2024,22,31.28,1.564,0.09049479166666666
79,1,5,1,6,41.84,2,0.0,83.68,18.43,0,3,0,1,0,5,2024,16,83.68,0.0,0.21764289088332545
35,2,3,2,8,3.25,3,0.15,8.29,1.35,1,1,1,0,3,9,2023,18,9.75,1.4625,0.14531754574811628
